id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
619,Breathing Game (Sensory) - Support body awareness #199,Sensory,Moderate,Support body awareness,"body awareness, sensory modulation","rubber bands, spoon",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Mixed,Level 3 (high support),Quiet environment,No cost,Visual
620,Sentence Starters (Writing) - Develop letter formation #79,Writing,Moderate,Develop letter formation,"visual-motor integration, sentence building","zipper pouch, tape on floor",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Mixed,Level 1 (mild support),Group setting possible,No cost,Mixed
621,Movement Break (Sensory) - Practice deep pressure #205,Sensory,Moderate,Practice deep pressure calming routine,"tactile tolerance, proprioception","rubber bands, pillow, buttons",30,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Mixed
622,Turn-Taking Game (Speech) - Build social greeting #64,Speech,Moderate,Build social greeting skills,"question answering, vocabulary","tape on floor, coins",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Sensory-avoidant,Level 2 (moderate support),Low materials / small space,Low cost,Mixed
623,Ball Toss (Gross Motor) - Improve balance and #33,Gross Motor,Moderate,Improve balance and coordination,"coordination, core strength","safe scissors, pillow",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Mixed,Level 1 (mild support),Group setting possible,No cost,Kinesthetic
624,Texture Bin (Sensory) - Help with selfregulation #73,Sensory,Challenging,Help with self-regulation,"body awareness, tactile tolerance","markers, buttons, small toys",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 2 (moderate support),Low materials / small space,Low cost,Auditory
625,Picture Naming (Speech) - Support sound articulation #12,Speech,Moderate,Support sound articulation,"turn-taking, social communication","soft toys, string, pencil, rubber bands",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Sensory-avoidant,Level 1 (mild support),Quiet environment,No cost,Mixed
626,Clothespin Squeeze (Fine Motor) - Increase handeye coordination #209,Fine Motor,Easy,Increase hand-eye coordination,"tool use, bilateral coordination","picture cards, flashcards, paper",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Mixed,Level 3 (high support),Low materials / small space,No cost,Mixed
627,Threading (Fine Motor) - Practice bilateral coordination #143,Fine Motor,Moderate,Practice bilateral coordination,"tool use, finger isolation","crayons, plastic cups, soft toys, markers",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Mixed,Level 1 (mild support),Quiet environment,No cost,Kinesthetic
628,Deep Pressure Routine (Sensory) - Practice deep pressure #40,Sensory,Easy,Practice deep pressure calming routine,"proprioception, self-regulation","coins, clothespins",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Mixed,Level 1 (mild support),Quiet environment,No cost,Visual
629,Ball Toss (Gross Motor) - Encourage wholebody movement #200,Gross Motor,Moderate,Encourage whole-body movement,"endurance, coordination","safe scissors, tape on floor, flashcards",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Visual
630,Trace & Copy (Writing) - Build sentence writing #190,Writing,Moderate,Build sentence writing using prompts,"copying skills, sentence building","coins, pencil",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Mixed,Level 1 (mild support),Low materials / small space,Medium cost,Auditory
631,Trace & Copy (Writing) - Build sentence writing #92,Writing,Moderate,Build sentence writing using prompts,"letter formation, spacing","buttons, small toys",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Mixed,Level 1 (mild support),Group setting possible,Low cost,Mixed
632,Calm Corner (Sensory) - Reduce restlessness using #181,Sensory,Easy,Reduce restlessness using movement breaks,"tactile tolerance, body awareness","markers, tape on floor, ball",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-seeking,Level 2 (moderate support),Quiet environment,Low cost,Visual
633,Heavy Work (Sensory) - Offer safe sensory #55,Sensory,Moderate,Offer safe sensory exploration,"transitioning, tactile tolerance","coins, clothespins",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Visual
634,Sticker Pick-Up (Fine Motor) - Improve finger strength #125,Fine Motor,Easy,Improve finger strength and control,"finger isolation, grip strength","rubber bands, tape on floor, blocks, notebook",25,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Sensory-avoidant,Level 2 (moderate support),Outdoor friendly,Low cost,Mixed
635,Balance Line (Gross Motor) - Practice stopping and #237,Gross Motor,Moderate,Practice stopping and starting on cue,"endurance, motor planning","flashcards, buttons, spoon",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Neutral,Level 1 (mild support),Low materials / small space,No cost,Mixed
636,Sentence Starters (Writing) - Build sentence writing #15,Writing,Moderate,Build sentence writing using prompts,"letter formation, fine motor precision","glue, zipper pouch",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Mixed,Level 2 (moderate support),Low materials / small space,Low cost,Kinesthetic
637,Emotion Words (Speech) - Improve receptive language #165,Speech,Moderate,Improve receptive language following directions,"speech production, question answering","stickers, pom-poms, markers",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Sensory-avoidant,Level 1 (mild support),Quiet environment,No cost,Kinesthetic
638,Dance Freeze (Gross Motor) - Build stamina with #85,Gross Motor,Moderate,Build stamina with short routines,"coordination, motor planning","picture cards, rubber bands",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Neutral,Level 2 (moderate support),Low materials / small space,No cost,Auditory
639,Calm Corner (Sensory) - Provide calming sensory #68,Sensory,Easy,Provide calming sensory input,"tactile tolerance, transitioning","markers, pom-poms",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Mixed,Level 1 (mild support),Low materials / small space,Medium cost,Visual
640,Clothespin Squeeze (Fine Motor) - Practice bilateral coordination #72,Fine Motor,Easy,Practice bilateral coordination,"finger isolation, grip strength","plastic cups, pencil, pom-poms, coins",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Mixed,Level 2 (moderate support),Outdoor friendly,Low cost,Mixed
641,Shape Practice (Writing) - Build sentence writing #75,Writing,Moderate,Build sentence writing using prompts,"spacing, letter formation","playdough, crayons, paper, small toys",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Sensory-avoidant,Level 1 (mild support),Group setting possible,No cost,Auditory
642,Animal Walks (Gross Motor) - Develop motor planning #185,Gross Motor,Easy,Develop motor planning,"coordination, inhibition control","string, glue",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Mixed,Level 2 (moderate support),Low materials / small space,Low cost,Visual
643,Calm Corner (Sensory) - Help with selfregulation #80,Sensory,Moderate,Help with self-regulation,"self-regulation, tactile tolerance","zipper pouch, tape on floor",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Mixed,Level 2 (moderate support),Low materials / small space,Low cost,Mixed
644,Emotion Words (Speech) - Improve expressive vocabulary #73,Speech,Moderate,Improve expressive vocabulary,"turn-taking, social communication","pillow, flashcards",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Sensory-avoidant,Level 1 (mild support),Quiet environment,No cost,Auditory
645,Trace & Copy (Writing) - Practice tracing shapes #127,Writing,Easy,Practice tracing shapes and letters,"sentence building, spacing","markers, blocks, notebook, clothespins",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Mixed,Level 1 (mild support),Quiet environment,Low cost,Kinesthetic
646,Ball Toss (Gross Motor) - Develop motor planning #155,Gross Motor,Moderate,Develop motor planning,"coordination, core strength","spoon, rice or beans in a container, rubber bands, notebook",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Mixed,Level 1 (mild support),Low materials / small space,No cost,Auditory
647,Texture Bin (Sensory) - Reduce restlessness using #218,Sensory,Easy,Reduce restlessness using movement breaks,"body awareness, transitioning","pencil, picture cards, small toys",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Mixed
648,Trace & Copy (Writing) - Improve handwriting fluency #129,Writing,Moderate,Improve handwriting fluency,"fine motor precision, letter formation","soft toys, markers, zipper pouch",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",3-4,Neutral,Level 1 (mild support),Low materials / small space,No cost,Mixed
649,Movement Break (Sensory) - Help with selfregulation #161,Sensory,Challenging,Help with self-regulation,"sensory modulation, self-regulation","spoon, tape on floor, plastic cups",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-avoidant,Level 1 (mild support),Low materials / small space,Medium cost,Visual
650,Deep Pressure Routine (Sensory) - Provide calming sensory #36,Sensory,Moderate,Provide calming sensory input,"body awareness, tactile tolerance","string, tape on floor, flashcards, pillow",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Mixed,Level 3 (high support),Low materials / small space,Medium cost,Mixed
651,Texture Bin (Sensory) - Provide calming sensory #71,Sensory,Challenging,Provide calming sensory input,"tactile tolerance, proprioception","plastic cups, small toys, zipper pouch",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-avoidant,Level 2 (moderate support),Quiet environment,Low cost,Auditory
652,Letter Hunt (Writing) - Develop letter formation #41,Writing,Easy,Develop letter formation,"sentence building, letter formation","spoon, blocks",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Neutral,Level 3 (high support),Low materials / small space,Low cost,Mixed
653,Threading (Fine Motor) - Increase handeye coordination #216,Fine Motor,Moderate,Increase hand-eye coordination,"dexterity, finger isolation","pom-poms, zipper pouch, coins",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Neutral,Level 2 (moderate support),Quiet environment,Low cost,Visual
654,Shape Practice (Writing) - Support idea organization #33,Writing,Moderate,Support idea organization in writing,"spacing, visual-motor integration","rice or beans in a container, picture cards, rubber bands",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Neutral,Level 2 (moderate support),Quiet environment,No cost,Mixed
655,Emotion Words (Speech) - Improve receptive language #115,Speech,Moderate,Improve receptive language following directions,"turn-taking, listening","crayons, clothespins, blocks, zipper pouch",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
656,Follow Directions (Speech) - Build social greeting #151,Speech,Moderate,Build social greeting skills,"turn-taking, question answering","pencil, playdough",25,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Sensory-avoidant,Level 2 (moderate support),Group setting possible,No cost,Kinesthetic
657,Cup Stacking (Fine Motor) - Develop pincer grasp #220,Fine Motor,Easy,Develop pincer grasp,"grip strength, dexterity","crayons, tape on floor, small toys, plastic cups",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Sensory-avoidant,Level 1 (mild support),Low materials / small space,Low cost,Auditory
658,Movement Break (Sensory) - Practice deep pressure #119,Sensory,Easy,Practice deep pressure calming routine,"self-regulation, tactile tolerance","safe scissors, tape on floor",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Mixed
659,Texture Bin (Sensory) - Reduce restlessness using #37,Sensory,Challenging,Reduce restlessness using movement breaks,"proprioception, tactile tolerance","coins, ball, clothespins",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Mixed,Level 1 (mild support),Quiet environment,No cost,Mixed
660,Deep Pressure Routine (Sensory) - Help with selfregulation #219,Sensory,Challenging,Help with self-regulation,"sensory modulation, tactile tolerance","zipper pouch, plastic cups, spoon",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Mixed,Level 1 (mild support),Low materials / small space,No cost,Visual
661,Texture Bin (Sensory) - Support body awareness #46,Sensory,Challenging,Support body awareness,"self-regulation, sensory modulation","picture cards, glue, blocks",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Auditory
662,Movement Break (Sensory) - Practice deep pressure #106,Sensory,Easy,Practice deep pressure calming routine,"tactile tolerance, body awareness","safe scissors, crayons",25,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",10-12,Sensory-seeking,Level 1 (mild support),Quiet environment,Low cost,Visual
663,Calm Corner (Sensory) - Offer safe sensory #150,Sensory,Easy,Offer safe sensory exploration,"tactile tolerance, body awareness","clothespins, pencil",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Kinesthetic
664,Sentence Starters (Writing) - Improve handwriting fluency #207,Writing,Challenging,Improve handwriting fluency,"copying skills, sentence building","playdough, blocks, glue",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Neutral,Level 3 (high support),Outdoor friendly,No cost,Mixed
665,Cup Stacking (Fine Motor) - Develop inhand manipulation #1,Fine Motor,Easy,Develop in-hand manipulation,"grip strength, finger isolation","string, plastic cups, flashcards, pom-poms",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Sensory-avoidant,Level 3 (high support),Low materials / small space,No cost,Mixed
666,Trace & Copy (Writing) - Support idea organization #141,Writing,Moderate,Support idea organization in writing,"copying skills, fine motor precision","paper, blocks, rice or beans in a container, rubber bands",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",10-12,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Auditory
667,Deep Pressure Routine (Sensory) - Support transition to #79,Sensory,Moderate,Support transition to new activities,"tactile tolerance, transitioning","notebook, playdough",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Sensory-seeking,Level 1 (mild support),Quiet environment,No cost,Auditory
668,Turn-Taking Game (Speech) - Practice answering WHquestions #98,Speech,Easy,Practice answering WH-questions,"listening, question answering","zipper pouch, clothespins, crayons",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Neutral,Level 1 (mild support),Group setting possible,No cost,Auditory
669,Letter Hunt (Writing) - Improve spacing and #143,Writing,Easy,Improve spacing and line awareness,"sentence building, fine motor precision","pencil, rice or beans in a container",15,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",8-10,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Auditory
670,Deep Pressure Routine (Sensory) - Help with selfregulation #163,Sensory,Easy,Help with self-regulation,"self-regulation, sensory modulation","blocks, soft toys, small toys, tape on floor",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",6-8,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Mixed
671,Texture Bin (Sensory) - Support transition to #166,Sensory,Moderate,Support transition to new activities,"proprioception, sensory modulation","glue, pom-poms, picture cards, blocks",10,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Sensory-seeking,Level 1 (mild support),Low materials / small space,No cost,Auditory
672,Emotion Words (Speech) - Develop sentencebuilding skills #29,Speech,Moderate,Develop sentence-building skills,"turn-taking, listening","zipper pouch, rice or beans in a container",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",3-4,Sensory-avoidant,Level 3 (high support),Quiet environment,Low cost,Kinesthetic
673,Guided Journal (Writing) - Practice writing simple #24,Writing,Easy,Practice writing simple labels for pictures,"fine motor precision, visual-motor integration","plastic cups, markers, pillow, picture cards",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 1 (mild support),Low materials / small space,No cost,Auditory
674,Turn-Taking Game (Speech) - Build social greeting #57,Speech,Moderate,Build social greeting skills,"turn-taking, question answering","small toys, ball, rice or beans in a container, soft toys",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",6-8,Sensory-avoidant,Level 3 (high support),Low materials / small space,No cost,Kinesthetic
675,Obstacle Course (Gross Motor) - Increase core strength #116,Gross Motor,Easy,Increase core strength,"endurance, coordination","rubber bands, blocks, picture cards",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",6-8,Mixed,Level 2 (moderate support),Group setting possible,Low cost,Visual
676,Trace & Copy (Writing) - Practice writing simple #222,Writing,Moderate,Practice writing simple labels for pictures,"sentence building, letter formation","clothespins, plastic cups",30,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Sensory-avoidant,Level 3 (high support),Low materials / small space,No cost,Visual
677,Animal Walks (Gross Motor) - Practice stopping and #214,Gross Motor,Easy,Practice stopping and starting on cue,"balance, coordination","buttons, clothespins",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Sensory-seeking,Level 3 (high support),Outdoor friendly,Low cost,Auditory
678,Turn-Taking Game (Speech) - Encourage turntaking in #176,Speech,Easy,Encourage turn-taking in conversation,"turn-taking, vocabulary","glue, notebook, pencil, playdough",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",4-6,Mixed,Level 1 (mild support),Group setting possible,Low cost,Auditory
679,Texture Bin (Sensory) - Support transition to #74,Sensory,Moderate,Support transition to new activities,"self-regulation, tactile tolerance","coins, stickers, markers, rubber bands",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 2 (moderate support),Quiet environment,No cost,Visual
680,Playdough Press (Fine Motor) - Develop inhand manipulation #232,Fine Motor,Moderate,Develop in-hand manipulation,"bilateral coordination, dexterity","notebook, crayons",15,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Sensory-avoidant,Level 3 (high support),Quiet environment,Low cost,Kinesthetic
681,Jump & Stop (Gross Motor) - Build stamina with #9,Gross Motor,Challenging,Build stamina with short routines,"inhibition control, core strength","stickers, ball, rice or beans in a container, zipper pouch",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Neutral,Level 3 (high support),Outdoor friendly,Medium cost,Mixed
682,Picture Labeling (Writing) - Improve spacing and #69,Writing,Moderate,Improve spacing and line awareness,"visual-motor integration, copying skills","buttons, markers, plastic cups, spoon",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Mixed,Level 3 (high support),Quiet environment,Medium cost,Auditory
683,Balance Line (Gross Motor) - Develop motor planning #61,Gross Motor,Moderate,Develop motor planning,"motor planning, coordination","stickers, rubber bands, soft toys, zipper pouch",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Mixed,Level 1 (mild support),Group setting possible,No cost,Visual
684,Follow Directions (Speech) - Develop sentencebuilding skills #220,Speech,Easy,Develop sentence-building skills,"turn-taking, social communication","crayons, rubber bands, stickers, playdough",25,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Mixed,Level 3 (high support),Outdoor friendly,No cost,Kinesthetic
685,Turn-Taking Game (Speech) - Develop sentencebuilding skills #27,Speech,Easy,Develop sentence-building skills,"listening, turn-taking","markers, rubber bands, plastic cups",15,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Mixed,Level 2 (moderate support),Quiet environment,Medium cost,Visual
